200,87,83
190,172,166
190,257,248
190,340,330
190,424,413
180,507,493
180,589,575
180,669,648
180,744,723
170,823,801
170,904,880
170,985,959
170,1065,1038
160,1145,1117
160,1223,1193
160,1302,1271
160,1380,1348
150,1457,1425
150,1533,1500
150,1609,1575
150,1685,1650
140,1760,1724
140,1835,1798
140,1909,1871
140,1983,1945
130,2054,2015
130,2123,2084
130,2192,2153
130,2263,2223
120,2332,2291
120,2399,2358
120,2465,2424
120,2530,2489
110,2593,2553
110,2655,2615
110,2715,2675
110,2775,2735
100,2834,2794
100,2891,2851
100,2947,2907
100,3005,2963
110,3053,3009
110,3108,3065
110,3166,3123
110,3225,3183
120,3287,3244
120,3352,3309
120,3417,3373
120,3481,3437
130,3547,3503
130,3615,3571
130,3684,3639
130,3753,3708
140,3824,3778
140,3897,3849
140,3969,3922
140,4043,3994
150,4117,4069
150,4193,4144
150,4270,4219
150,4347,4295
160,4425,4373
160,4507,4453
160,4587,4532
160,4672,4611
170,4749,4685
170,4830,4764
170,4911,4843
170,4994,4924
180,5077,5005
180,5162,5087
180,5245,5169
180,5328,5249
190,5413,5332
190,5497,5415
190,5583,5498
190,5671,5583
200,5759,5668
200,5847,5754
200,5935,5839
