250,97,92
240,194,184
230,291,275
220,385,365
210,479,454
200,571,541
190,662,628
180,751,713
170,839,796
160,925,878
150,1008,957
140,1089,1034
130,1165,1107
120,1239,1178
110,1309,1245
100,1375,1307
90,1433,1363
80,1485,1413
70,1530,1457
60,1567,1493
50,1597,1520
40,1617,1540
30,1630,1552
20,1636,1558
10,1637,1559
0,1637,1559
10,1637,1559
20,1637,1559
30,1637,1559
40,1637,1559
50,1637,1559
60,1641,1563
70,1641,1563
80,1641,1563
90,1641,1563
100,1641,1563
110,1641,1563
120,1657,1578
130,1707,1627
140,1773,1692
150,1846,1763
160,1925,1838
170,2009,1917
180,2095,1999
190,2183,2083
200,2273,2169
210,2365,2255
220,2457,2343
230,2552,2433
240,2647,2523
